,run,biosample,MIC_AMC,MIC_AMP,MIC_AZM,MIC_FOX,MIC_TIO,MIC_CRO,MIC_CHL,MIC_CIP,MIC_GEN,MIC_NAL,MIC_STR,MIC_FIS,MIC_TET,MIC_SXT,MIC_KAN,SIR_AMC,SIR_AMP,SIR_AZM,SIR_FOX,SIR_TIO,SIR_CRO,SIR_CHL,SIR_CIP,SIR_GEN,SIR_NAL,SIR_STR,SIR_FIS,SIR_TET,SIR_SXT,SIR_KAN,isolation_source,serovar,collection_date,collected_by,geo_loc_name,strain,sub_species,Typing Method,Testing Standard,source,cgmlst_matching_alleles,cgmlst_subspecies,h1,h2,o_antigen,serogroup,serovar_antigen,serovar_cgmlst
0,SRR3295660,SAMN04577207,<= 1,<= 1,4,4,0.5,<= 0.25,8,<= 0.015,<= 0.25,4,== 8,> 256,> 32,0.25, ,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,resistant,susceptible,susceptible, ,Young Chicken,Typhimurium,2014,FDA,USA:DE,CVM N57009F,enterica,96-Well Plate,CLSI,,,,,,,,,
1,SRR3295659,SAMN04577206,2,2,16,8,2,<= 0.25,16,1,0.5,32,== 16,64,> 32,<= 0.125, ,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible, ,animal-swine-sow,Anatum,2014,FDA,USA:PA,CVM N57007F,enterica,96-Well Plate,CLSI,,,,,,,,,
2,SRR3925108,SAMN05379574,<= 1,<= 1,4,2, ,<= 0.25,4,<= 0.015,<= 0.25,4,== 4,32,<= 4,<= 0.12, ,susceptible,susceptible,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible, ,animal-swine-sow,Uganda,2016,USDA-FSIS,USA:WI,FSIS1607051,enterica,,CLSI,,,,,,,,,
3,SRR3925087,SAMN05379572,16,> 32,4,4, ,<= 0.25,4,<= 0.015,> 16,4,== 32,32,<= 4,<= 0.12, ,intermediate,resistant,susceptible,susceptible, ,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible, ,Animal-Turkey-Young Turkey,Senftenberg,2016,USDA-FSIS,USA:AR,FSIS1607049,enterica,,CLSI,,,,,,,,,
4,SRR3925097,SAMN05379563,<= 1,<= 1,4,4, ,<= 0.25,4,<= 0.015,0.5,4,== 8,32,<= 4,<= 0.12, ,susceptible,susceptible,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible, ,animal-swine-market swine,Ohio,2016,USDA-FSIS,USA:KS,FSIS1607039,enterica,,CLSI,,,,,,,,,
5,SRR3925107,SAMN05379552,<= 1,<= 1,4,4, ,<= 0.25,4,<= 0.015,<= 0.25,4,== 4,<= 16,<= 4,<= 0.12, ,susceptible,susceptible,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible, ,animal-cattle-dairy cow,Cerro,2016,USDA-FSIS,USA:WI,FSIS1606976,enterica,,CLSI,,,,,,,,,
6,SRR3925111,SAMN05379540,<= 1,<= 1,2,8, ,<= 0.25,4,<= 0.015,0.5,4,== 8,32,<= 4,<= 0.12, ,susceptible,susceptible,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible, ,animal-swine-sow,Uganda,2016,USDA-FSIS,USA:IL,FSIS1606962,enterica,,CLSI,,,,,,,,,
7,SRR3726302,SAMN05301305,<= 1,<= 1,4,2, ,<= 0.25,4,<= 0.015,1,2,== 8,32,<= 4,<= 0.12, ,susceptible,susceptible,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible, ,animal-swine-market swine,Cerro,2016,USDA-FSIS,USA:NH,FSIS1606930,enterica,,CLSI,,,,,,,,,
8,SRR3726444,SAMN05301277,<= 1,<= 1,4,2, ,<= 0.25,4,<= 0.015,<= 0.25,2,== 8,32,<= 4,<= 0.12, ,susceptible,susceptible,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible, ,animal-cattle-steer,Agbeni,2016,USDA-FSIS,USA:IL,FSIS1606954,enterica,,CLSI,,,,,,,,,
9,SRR3236166,SAMN04563578,<= 1,<= 1,2,2, ,<= 0.25,<= 2,<= 0.015,0.5,2,> 64,64,> 32,<= 0.12, ,susceptible,susceptible,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,susceptible, ,Animal-Turkey-Young Turkey,Hadar,2016,USDA-FSIS,USA:CA,FSIS1606018,enterica,,CLSI,,,,,,,,,
